product_id,category,price,base_price,amount,status,region,priority,old_name,user_id,order_date
P0001,Electronics,222.55,188.6,2822.79,Pending,South,Low,Item_1,81482,2025-02-14
P0002,Sports,2167.42,1836.8,394.99,Pending,South,Low,Item_2,83563,2025-04-12
P0003,Sports,2155.65,1826.82,4547.17,Cancelled,North,High,Item_3,54597,2025-05-23
P0004,Furniture,1155.04,978.85,7658.59,Completed,North,Medium,Item_4,55082,2025-11-06
P0005,Clothing,4054.93,3436.38,7324.34,Completed,West,High,Item_5,92397,2025-11-13
P0006,Clothing,2929.03,2482.23,7075.26,Completed,South,Medium,Item_6,40512,2025-02-21
P0007,Books,1462.07,1239.04,6393.28,Cancelled,South,Medium,Item_7,97841,2025-05-17
P0008,Electronics,3084.74,2614.19,1794.27,Pending,South,Medium,Item_8,93886,2025-12-19
P0009,Sports,1176.11,996.7,3310.4,Completed,South,High,Item_9,62581,2025-05-18
P0010,Electronics,1133.82,960.86,9434.81,Cancelled,South,Low,Item_10,94259,2025-08-23
P0011,Furniture,1397.91,1184.67,2541.61,Cancelled,West,Low,Item_11,38746,2025-03-12
P0012,Sports,2518.23,2134.09,7582.24,Completed,South,Low,Item_12,99192,2025-08-05
P0013,Sports,411.29,348.55,3878.03,Processing,East,Low,Item_13,11504,2025-12-15
P0014,Electronics,3440.38,2915.58,5416.01,Cancelled,East,High,Item_14,30730,2025-08-21
P0015,Electronics,4773.70,4045.51,8770.94,Cancelled,South,Low,Item_15,91959,2025-06-02
P0016,Sports,3083.95,2613.52,1613.11,Pending,North,Low,Item_16,12552,2025-02-27
P0017,Clothing,4405.74,3733.68,8333.49,Cancelled,South,High,Item_17,84364,2025-02-10
P0018,Electronics,3686.35,3124.03,8178.63,Pending,South,Low,Item_18,82063,2025-03-26
P0019,Clothing,2685.60,2275.93,6105.28,Pending,South,Low,Item_19,98039,2025-11-29
P0020,Clothing,2246.69,1903.97,5224,Completed,South,High,Item_20,12757,2025-10-29
P0021,Sports,1227.56,1040.31,2280.15,Completed,North,High,Item_21,14117,2025-06-19
P0022,Electronics,2619.36,2219.8,2856.92,Processing,South,Low,Item_22,84847,2025-10-23
P0023,Books,1290.69,1093.81,4782.43,Processing,South,High,Item_23,66498,2025-07-01
P0024,Books,2114.40,1791.86,8651.98,Completed,North,High,Item_24,54473,2025-02-25
P0025,Furniture,1038.79,880.33,5409.23,Pending,West,High,Item_25,42742,2025-02-08
P0026,Books,4059.31,3440.09,8574.07,Completed,North,Low,Item_26,11934,2025-02-17
P0027,Furniture,914.92,775.36,4907.85,Pending,West,High,Item_27,10282,2025-07-19
P0028,Clothing,4639.94,3932.15,7872.78,Cancelled,West,Low,Item_28,82845,2025-12-05
P0029,Books,858.50,727.54,3037.41,Completed,North,Low,Item_29,16572,2025-10-27
P0030,Books,2563.97,2172.86,8541.93,Pending,North,Low,Item_30,34356,2025-02-05
P0031,Sports,433.01,366.96,8632.01,Processing,North,Low,Item_31,87924,2025-01-21
P0032,Sports,501.72,425.19,6607.99,Cancelled,East,High,Item_32,51180,2025-05-03
P0033,Clothing,2039.35,1728.26,6749.73,Cancelled,West,Medium,Item_33,19508,2025-01-05
P0034,Books,3143.68,2664.14,5673.64,Completed,North,Low,Item_34,44760,2025-03-09
P0035,Clothing,4416.23,3742.57,8804.78,Cancelled,East,High,Item_35,81200,2025-12-27
P0036,Clothing,3097.22,2624.76,9873.61,Completed,East,Low,Item_36,27601,2025-05-16
P0037,Electronics,4459.59,3779.31,7449.93,Pending,East,Medium,Item_37,54942,2025-04-15
P0038,Clothing,2576.50,2183.47,2586.1,Completed,North,Low,Item_38,46265,2025-01-23
P0039,Electronics,1734.43,1469.86,1395.11,Cancelled,South,Low,Item_39,66057,2025-10-15
P0040,Electronics,648.18,549.31,9456,Pending,North,Medium,Item_40,29410,2025-08-09
P0041,Furniture,304.96,258.44,3710.05,Completed,East,High,Item_41,97416,2025-02-22
P0042,Clothing,3922.57,3324.21,8852.93,Processing,South,High,Item_42,33206,2025-07-31
P0043,Electronics,978.87,829.55,9252.42,Processing,South,Medium,Item_43,24168,2025-07-15
P0044,Electronics,4307.11,3650.09,2302.09,Processing,East,Medium,Item_44,39831,2025-04-25
P0045,Electronics,3334.16,2825.56,4044.81,Cancelled,North,Medium,Item_45,76768,2025-07-24
P0046,Sports,1722.63,1459.86,373.25,Cancelled,South,Low,Item_46,44795,2025-01-20
P0047,Electronics,3023.20,2562.03,3522.3,Cancelled,West,Low,Item_47,25157,2025-07-17
P0048,Sports,1031.39,874.06,539.43,Processing,North,Low,Item_48,80575,2025-12-18
P0049,Furniture,1884.69,1597.19,792.74,Cancelled,East,Low,Item_49,49363,2025-09-17
P0050,Clothing,3367.78,2854.05,3329.21,Cancelled,South,High,Item_50,59695,2025-12-13
P0051,Furniture,3116.02,2640.69,3079.4,Completed,East,Medium,Item_51,86019,2025-11-07
P0052,Clothing,2378.44,2015.63,4477.38,Pending,West,Low,Item_52,21114,2025-05-26
P0053,Sports,3352.88,2841.42,6230.68,Completed,South,Low,Item_53,36100,2025-03-17
P0054,Electronics,326.45,276.65,9840.97,Completed,West,Medium,Item_54,85454,2025-04-10
P0055,Books,2522.45,2137.67,2515.45,Completed,North,Medium,Item_55,77889,2025-08-26
P0056,Electronics,2831.29,2399.4,9182.95,Completed,West,High,Item_56,97500,2025-09-29
P0057,Sports,3017.72,2557.39,9505.39,Processing,West,Low,Item_57,30861,2025-09-01
P0058,Books,1370.04,1161.05,2547.67,Cancelled,West,Low,Item_58,67654,2025-02-09
P0059,Clothing,1249.02,1058.49,3424.89,Completed,South,High,Item_59,30028,2025-12-28
P0060,Furniture,414.72,351.46,4135.23,Processing,West,High,Item_60,65069,2025-07-19
P0061,Sports,4735.70,4013.31,293.37,Processing,West,High,Item_61,49139,2025-07-19
P0062,Books,2737.28,2319.73,7372.88,Pending,West,High,Item_62,73654,2025-01-15
P0063,Books,1747.03,1480.53,6823.5,Processing,South,Medium,Item_63,91560,2025-10-01
P0064,Electronics,4543.95,3850.81,5959.74,Completed,North,Low,Item_64,70515,2025-04-04
P0065,Electronics,1374.77,1165.06,3340.79,Processing,East,Medium,Item_65,59692,2025-05-23
