item_id,order_id,product_id,quantity,unit_price,discount_percent
1,900532,5226,4,8087.88,55.39
2,901973,5186,5,61306.4,36.06
3,901989,5108,1,13618.58,13.36
4,900842,5189,1,103377.72,13.09
5,900148,5143,5,77786.21,0.35
6,901368,5219,1,4011.36,46.44
7,902217,5072,3,37232.01,56.45
8,900711,5104,4,27750.29,55.59
9,900045,5257,2,26824.95,6.68
10,900127,5294,2,63582.01,54.91
11,901883,5092,1,87491.23,17.13
12,901935,5179,2,82472.44,22.19
13,901529,5164,2,51778.22,24.9
14,902199,5023,2,94665.29,25.96
15,900929,5032,5,99919.93,7.68
16,901241,5271,3,40342.53,43.15
17,900933,5023,1,94665.29,10.64
18,901313,5039,3,10588.75,28.03
19,900809,5119,4,19763.13,21.41
20,902207,5178,2,14331.9,5.11
21,901392,5048,4,114931.19,56.93
22,902009,5149,4,63562.75,31.77
23,900765,5282,3,112040.79,54.6
24,900600,5295,2,74905.25,5.0
25,901455,5047,1,5126.37,22.16
26,901906,5035,1,94529.4,57.49
27,902224,5152,2,79424.28,18.32
28,900278,5114,4,23425.82,33.46
29,901843,5202,5,106411.67,49.49
30,900464,5196,1,70102.22,50.44
31,902027,5032,1,99919.93,29.78
32,901069,5285,5,2967.29,1.75
33,901238,5202,4,106411.67,43.32
34,900764,5206,5,66702.53,46.32
35,900212,5118,1,50237.09,41.65
36,901344,5189,2,103377.72,38.41
37,900233,5200,5,13509.97,19.62
38,900941,5222,5,102926.19,23.16
39,900294,5037,1,112000.42,33.44
40,901779,5159,2,72830.3,35.58
41,900081,5121,3,107893.28,31.98
42,901155,5143,5,77786.21,20.09
43,900253,5130,3,99662.88,24.31
44,901711,5135,4,15280.01,22.22
45,901230,5220,3,16844.95,5.95
46,900227,5267,1,3632.67,37.48
47,901489,5147,4,56229.64,1.95
48,901063,5279,-3,70408.01,36.09
49,901275,5109,2,49172.01,24.36
50,902082,5298,5,53704.34,18.65
51,901356,5103,3,27052.85,10.41
52,901344,5034,3,63870.8,25.45
53,901149,5060,3,55146.38,15.52
54,901932,5046,1,96884.71,57.98
55,900531,5222,3,102926.19,27.99
56,902437,5098,1,116982.74,47.92
57,900199,5270,4,10034.38,26.99
58,901444,5009,1,19808.61,24.13
59,900666,5268,5,29983.13,55.03
60,901322,5008,1,32565.72,1.98
61,900642,5114,4,23425.82,14.16
62,900440,5003,2,83626.26,8.32
63,900508,5197,5,32308.96,21.08
64,901283,5289,3,115051.33,18.63
65,900039,5270,5,10034.38,46.37
66,901143,5063,1,70810.15,10.02
67,902025,5116,3,90702.12,15.73
68,901046,5005,3,112994.23,22.31
69,900775,5027,3,93544.34,27.3
70,902353,5045,2,32630.52,7.27
71,901824,5059,2,53810.88,49.02
72,902345,5211,2,67610.16,3.89
73,901558,5088,2,17338.8,18.48
74,900352,5072,4,37232.01,55.04
75,901831,5116,5,90702.12,42.7
76,900930,5063,2,70810.15,5.36
77,902069,5205,4,56789.72,16.91
78,902205,5227,1,113815.27,37.49
79,902251,5208,4,7426.61,41.88
80,901953,5107,4,114549.22,2.44
81,902435,5106,4,3550.44,43.44
82,902355,5248,1,21905.83,11.12
83,901107,5178,1,14331.9,18.51
84,900157,5298,1,53704.34,37.08
85,901644,5264,5,36206.41,51.45
86,900001,5051,5,1235.66,3.58
87,901718,5210,1,8721.3,1.96
88,901028,5187,4,12145.65,43.4
89,902195,5061,4,114364.12,47.65
90,902154,5182,-2,77248.73,26.5
