order_id,customer_id,order_date,status
900001,100571,7/5/2025 23:02,DELIVERED
900002,100308,4/12/2025 0:31,CANCELLED
900003,100349,11/30/2025 8:16,PLACED
900004,100097,2/11/2026 13:41,DELIVERED
900005,,4/17/2026 18:00,DELIVERED
900006,100717,7/10/2024 18:45,SHIPPED
900007,100854,8/24/2025 17:05,SHIPPED
900008,100827,1/2/2026 13:48,DELIVERED
900009,100249,2024/17/12  11:01:00 PM,DELIVERED
900010,100966,12/28/2025 15:40,CANCELLED
900011,100485,10/23/2025 9:23,SHIPPED
900012,100777,12/31/2024 10:23,DELIVERED
900013,100133,5/1/2026 11:21,CANCELLED
900014,100889,11/30/2024 9:29,DELIVERED
900015,100262,7/7/2024 21:25,DELIVERED
900016,101000,6/12/2025 23:54,DELIVERED
900017,100763,4/26/2025 20:13,DELIVERED
900018,100058,5/25/2026 16:57,CANCELLED
900019,100011,6/8/2026 1:42,SHIPPED
900020,,24-01-2026,RETURNED
900021,100326,8/8/2024 12:13,SHIPPED
900022,100384,8/17/2025 11:38,DELIVERED
900023,100966,9/2/2025 11:07,CANCELLED
900024,100652,5/5/2025 10:19,DELIVERED
900025,100837,8/6/2024 9:18,DELIVERED
900026,100746,6/14/2025 0:06,SHIPPED
900027,100517,6/21/2025 23:45,DELIVERED
900028,100137,6/5/2026 21:18,DELIVERED
900029,100057,1/13/2026 0:15,DELIVERED
900030,100900,4/12/2026 17:27,CANCELLED
900031,100895,9/15/2024 17:57,DELIVERED
900032,,10/19/2024 20:17,DELIVERED
900033,100348,7/28/2025 16:47,DELIVERED
900034,100858,9/30/2025 2:31,DELIVERED
900035,100103,2/28/2025 8:19,CANCELLED
900036,100027,7/14/2025 14:35,PLACED
900037,100759,6/6/2026 2:59,CANCELLED
900038,100319,4/11/2025 23:14,RETURNED
900039,100648,4/10/2026 5:34,DELIVERED
900040,100354,8/28/2024 21:32,DELIVERED
900041,100588,7/28/2024 21:44,DELIVERED
900042,100918,10/23/2025 17:45,DELIVERED
900043,100902,9/7/2024 17:52,SHIPPED
900044,100556,8/21/2025 10:58,RETURNED
900045,100128,9/27/2025 20:17,DELIVERED
900046,100583,2/5/2026 14:38,DELIVERED
900047,100095,8/3/2025 19:58,SHIPPED
900048,100763,12/4/2025 20:53,SHIPPED
900049,100821,11/2/2025 9:00,DELIVERED
900050,100756,9/29/2025 12:12,DELIVERED
900051,100953,6/6/2025 2:11,DELIVERED
900052,100528,11/9/2025 3:18,SHIPPED
900053,100513,20-08-2025,CANCELLED
900054,100388,12/6/2024 12:45,DELIVERED
900055,100188,21-11-2024,DELIVERED
900056,100116,7/12/2025 13:28,DELIVERED
900057,100213,3/10/2026 19:51,CANCELLED
900058,100732,12/6/2024 16:41,RETURNED
900059,100956,12/6/2025 11:26,SHIPPED
900060,100449,12/26/2025 12:05,DELIVERED
900061,100266,11/9/2025 21:17,SHIPPED
900062,100644,6/25/2026 11:41,PLACED
900063,,9/27/2025 18:04,DELIVERED
900064,100243,9/8/2024 6:44,SHIPPED
900065,100238,7/21/2025 19:27,CANCELLED
900066,100600,11/14/2025 5:06,SHIPPED
900067,100609,9/9/2024 8:50,SHIPPED
900068,100948,12/28/2024 17:40,DELIVERED
900069,,4/12/2026 0:24,CANCELLED
900070,100573,6/25/2026 17:54,SHIPPED
900071,100655,9/10/2024 18:53,DELIVERED
900072,100739,1/23/2025 8:27,SHIPPED
900073,100420,2/18/2025 1:46,DELIVERED
900074,100651,2/8/2025 5:15,PLACED
900075,100324,7/3/2025 3:48,SHIPPED
900076,100861,9/1/2025 3:11,RETURNED
900077,100968,3/8/2025 19:20,DELIVERED
900078,100522,11/24/2024 11:23,SHIPPED
900079,100719,9/2/2024 19:17,PLACED
900080,100752,8/8/2024 0:21,DELIVERED
900081,100402,11/18/2025 0:43,DELIVERED
900082,100562,18-01-2026,DELIVERED
900083,100363,12/10/2024 10:31,DELIVERED
900084,100975,4/14/2025 17:03,SHIPPED
900085,100679,6/25/2026 19:08,PLACED
900086,100642,5/13/2026 0:20,CANCELLED
900087,100605,8/30/2025 20:55,SHIPPED
900088,100161,12/8/2024 4:56,DELIVERED
900089,100119,1/12/2026 8:18,CANCELLED
900090,100632,1/7/2026 12:44,DELIVERED
900091,100373,9/3/2024 12:02,PLACED
900092,100811,7/22/2024 22:57,DELIVERED
900093,100341,8/19/2024 5:32,DELIVERED
900094,100878,12/21/2025 21:05,DELIVERED
900095,100372,11/8/2025 17:07,DELIVERED
900096,,10/13/2024 20:17,SHIPPED
900097,100962,5/3/2026 19:08,PLACED
900098,100061,2/12/2026 9:50,SHIPPED
900099,100225,8/16/2024 5:50,SHIPPED
900100,100738,10/2/2025 3:57,SHIPPED
900101,100565,2/6/2025 12:00,PLACED
900102,100445,1/9/2025 19:29,PLACED
900103,100748,10/13/2024 4:31,PLACED
900104,100772,2/2/2026 14:12,SHIPPED
900105,100087,3/17/2026 9:39,SHIPPED
900106,,7/27/2024 21:55,DELIVERED
900107,100166,4/12/2025 11:00,SHIPPED
900108,100964,11/2/2024 15:19,DELIVERED
900109,100445,11/3/2024 5:20,DELIVERED
900110,100495,5/29/2026 17:39,RETURNED
900111,100180,10/29/2025 7:40,CANCELLED
900112,100642,6/17/2025 22:45,PLACED
900113,100698,10/5/2025 7:50,DELIVERED
900114,100906,1/8/2026 11:35,DELIVERED
900115,100616,1/6/2026 9:36,DELIVERED
900116,100152,3/2/2025 7:30,CANCELLED
900117,100146,2/14/2026 5:35,DELIVERED
900118,100662,16-07-2024,DELIVERED
900119,100528,8/4/2025 1:59,DELIVERED
900120,100723,3/13/2025 2:03,DELIVERED
900121,100419,8/8/2025 13:30,DELIVERED
900122,100630,3/24/2025 19:54,CANCELLED
900123,100926,2/23/2026 7:45,DELIVERED
900124,100005,7/8/2024 11:11,DELIVERED
900125,100776,1/21/2026 9:43,DELIVERED
900126,100588,12/28/2024 15:05,DELIVERED
900127,100946,3/14/2025 11:33,DELIVERED
900128,100048,9/3/2024 2:57,DELIVERED
900129,100929,11/2/2024 0:46,DELIVERED
900130,100005,8/2/2024 1:10,DELIVERED
900131,100284,3/21/2026 3:09,DELIVERED
900132,100904,5/13/2025 15:45,SHIPPED
900133,100665,3/10/2025 8:09,PLACED
900134,100307,8/23/2024 3:21,DELIVERED
900135,100380,10/4/2024 5:12,DELIVERED
900136,100540,6/6/2025 18:52,DELIVERED
900137,100777,12/8/2024 16:54,DELIVERED
900138,100700,8/15/2024 5:05,DELIVERED
900139,100768,11/3/2025 20:48,DELIVERED
900140,100617,1/2/2025 3:18,DELIVERED
900141,100135,5/8/2026 6:24,CANCELLED
900142,100266,5/18/2026 13:37,PLACED
900143,100089,7/21/2025 4:42,DELIVERED
900144,100221,1/25/2026 7:47,DELIVERED
900145,100747,10/11/2025 11:52,DELIVERED
900146,100980,10/23/2025 9:39,DELIVERED
900147,100191,12/13/2024 11:46,SHIPPED
900148,100929,1/9/2026 18:24,DELIVERED
900149,100257,4/15/2026 3:53,PLACED
900150,100628,12/10/2025 23:31,RETURNED
900151,100393,5/18/2025 7:44,CANCELLED
900152,100101,10/1/2024 15:21,DELIVERED
900153,100062,5/30/2026 10:51,SHIPPED
900154,100843,9/26/2025 5:37,SHIPPED
900155,100534,9/28/2025 21:55,DELIVERED
900156,100172,11/5/2024 18:40,CANCELLED
900157,100956,5/30/2026 18:04,DELIVERED
900158,100781,1/30/2025 21:10,DELIVERED
900159,100098,4/18/2025 18:12,RETURNED
900160,100144,3/13/2025 20:00,SHIPPED
900161,100592,6/8/2026 21:29,DELIVERED
900162,,9/12/2024 5:35,SHIPPED
900163,100645,3/31/2026 23:23,DELIVERED
900164,100713,10/18/2025 12:57,RETURNED
900165,100557,10/1/2025 20:16,DELIVERED
900166,100193,10/29/2025 8:49,DELIVERED
900167,100251,12/30/2025 2:54,DELIVERED
900168,100215,10/18/2024 22:42,SHIPPED
900169,100121,8/26/2024 21:40,SHIPPED
900170,100294,8/25/2024 19:48,RETURNED
900171,100731,4/18/2025 21:57,SHIPPED
900172,100090,9/2/2024 3:17,DELIVERED
900173,100010,12/22/2025 3:49,DELIVERED
900174,100546,8/2/2025 12:06,PLACED
900175,100184,8/29/2024 20:31,SHIPPED
900176,100125,8/30/2024 14:39,CANCELLED
900177,100332,8/18/2025 7:09,DELIVERED
900178,100028,12/16/2025 22:25,DELIVERED
900179,100114,10/23/2025 20:17,CANCELLED
900180,100439,7/14/2025 22:44,DELIVERED
900181,100056,4/9/2026 9:53,DELIVERED
900182,100165,5/10/2026 18:18,DELIVERED
900183,100942,5/31/2025 22:33,SHIPPED
900184,100162,4/25/2026 13:24,SHIPPED
900185,100128,1/9/2025 10:18,DELIVERED
900186,100574,4/21/2025 13:58,DELIVERED
900187,100745,11/28/2025 4:18,DELIVERED
900188,100775,10/11/2024,CANCELLED
900189,100793,6/29/2026 20:51,DELIVERED
900190,100344,4/9/2026 14:40,PLACED
900191,100855,28-03-2026,RETURNED
900192,100039,6/8/2025 16:25,SHIPPED
900193,100085,2/27/2025 22:07,DELIVERED
900194,100081,12/4/2024 17:15,DELIVERED
900195,100960,4/16/2025 14:46,DELIVERED
900196,100443,1/31/2026 6:17,CANCELLED
900197,100440,9/23/2024 1:16,DELIVERED
900198,100868,12/6/2024 18:41,DELIVERED
900199,100810,3/20/2025 10:05,DELIVERED
900200,100105,3/9/2025 7:27,DELIVERED
900201,100415,10/6/2025 16:05,DELIVERED
900202,100678,3/16/2026 22:25,SHIPPED
900203,100719,8/29/2024 6:29,DELIVERED
900204,100090,9/10/2024 13:40,SHIPPED
900205,100255,1/29/2026 18:12,DELIVERED
900206,100411,11/2/2025 12:38,DELIVERED
900207,100087,2/20/2025 2:11,DELIVERED
900208,100943,1/15/2025 8:28,DELIVERED
900209,100260,8/9/2024 13:16,DELIVERED
900210,100829,6/23/2025 20:22,PLACED
900211,100914,3/10/2026 12:25,SHIPPED
900212,100131,8/18/2024 0:18,PLACED
900213,101000,1/8/2025 16:48,DELIVERED
900214,100077,9/10/2024 4:11,DELIVERED
900215,100597,9/6/2025 13:22,SHIPPED
900216,100850,8/21/2024 12:45,DELIVERED
900217,100449,2/8/2025 8:09,PLACED
900218,100744,1/19/2025 5:01,SHIPPED
900219,100675,5/18/2026 2:03,DELIVERED
900220,100390,5/21/2026 23:18,SHIPPED
900221,100896,3/23/2025 19:01,CANCELLED
900222,100326,8/7/2025 6:06,DELIVERED
900223,100957,11/13/2024 0:09,RETURNED
900224,100971,4/3/2025 0:35,DELIVERED
900225,100210,12/27/2025 16:43,DELIVERED
900226,100523,4/3/2025 19:58,RETURNED
900227,100676,11/5/2024 15:07,DELIVERED
900228,100681,11/3/2025 15:28,PLACED
900229,100122,4/5/2026 11:31,DELIVERED
900230,100530,5/2/2026 9:11,DELIVERED
900231,100556,11/5/2024 8:00,SHIPPED
900232,100726,13-01-2026,SHIPPED
900233,100699,5/19/2026 4:41,DELIVERED
900234,100314,7/29/2024 4:22,PLACED
900235,100670,10/24/2025 0:01,SHIPPED
900236,100671,4/15/2026 20:41,SHIPPED
900237,100018,1/15/2026 7:11,PLACED
900238,100034,3/22/2026 9:38,DELIVERED
900239,100890,12/30/2024 3:45,DELIVERED
900240,100346,4/20/2026 10:14,DELIVERED
900241,100191,1/15/2025 6:15,DELIVERED
900242,100499,12/7/2024,SHIPPED
900243,100431,9/17/2024 23:05,DELIVERED
900244,100322,4/8/2025 21:28,DELIVERED
900245,100361,4/3/2025 0:04,CANCELLED
900246,100340,29-01-2025,SHIPPED
900247,100435,6/17/2025 10:02,DELIVERED
900248,100123,6/28/2025 6:12,SHIPPED
900249,100610,9/25/2024 11:13,RETURNED
900250,100191,8/16/2025 20:04,PLACED
900251,100780,7/1/2025 17:06,SHIPPED
900252,,4/28/2025 19:44,SHIPPED
900253,100587,6/26/2025 10:58,SHIPPED
900254,100876,5/12/2026 11:55,SHIPPED
900255,100791,5/2/2026 19:50,DELIVERED
900256,,5/14/2025 6:16,DELIVERED
900257,100523,8/20/2024 13:15,SHIPPED
900258,100427,11/23/2024 13:41,PLACED
900259,100340,1/17/2025 13:48,SHIPPED
900260,100250,5/27/2025 11:24,SHIPPED
900261,100533,12/28/2024 20:17,DELIVERED
900262,100795,3/11/2025 12:05,DELIVERED
900263,,8/18/2024 1:13,DELIVERED
900264,100180,7/14/2025 5:54,DELIVERED
900265,100397,6/25/2025 17:31,RETURNED
900266,100777,12/11/2024 21:19,DELIVERED
900267,100094,9/26/2025 15:06,CANCELLED
900268,100070,7/7/2026 14:35,PLACED
900269,100443,5/16/2026 9:22,DELIVERED
900270,100357,4/8/2025 0:33,RETURNED
900271,100523,8/19/2024 23:00,SHIPPED
900272,100555,5/18/2025 15:54,CANCELLED
900273,100344,8/17/2024 2:05,DELIVERED
900274,100780,7/23/2025 4:18,RETURNED
900275,100118,7/15/2025 2:24,RETURNED
900276,100141,2/23/2025 5:35,DELIVERED
900277,100428,19-09-2024,CANCELLED
900278,100004,6/20/2025 21:31,DELIVERED
900279,100458,6/14/2025 9:59,SHIPPED
900280,100722,5/29/2026 8:58,DELIVERED
900281,100752,1/31/2026 16:09,DELIVERED
900282,100329,10/11/2024 10:19,DELIVERED
900283,100484,2/16/2026 12:07,DELIVERED
900284,100179,10/11/2025 3:11,SHIPPED
900285,100140,9/16/2024 17:44,DELIVERED
900286,100891,1/28/2025 4:42,DELIVERED
900287,100495,2/3/2026 14:29,SHIPPED
900288,100309,8/25/2024 23:33,DELIVERED
900289,100799,12/3/2025 1:48,DELIVERED
900290,100761,6/19/2025 3:53,DELIVERED
900291,100373,1/11/2025 4:04,DELIVERED
